Ativo,Classe,Qtd_Cotas,Total_Investido,Preco_Medio,Indexador_RF,Taxa_RF,regularMarketPrice,logourl,Valor_Atual,Lucro_Prejuizo_R$,Rentabilidade_%
CDB Test de Rendimento,Renda Fixa,1.0,1000.0,1000.0,CDI,120.0,,https://ui-avatars.com/api/?name=CDI&background=0D8ABC&color=fff&length=4&font-size=0.35&bold=true,1000.0,0.0,0.0
ITUB4,Renda Variável (Ações/FIIs),5.0,100.0,20.0,,0.0,38.49,https://icons.brapi.dev/icons/ITUB4.svg,192.45000000000002,92.45000000000002,92.45000000000002
VALE3,Renda Variável (Ações/FIIs),10.0,350.0,35.0,,0.0,71.97,https://icons.brapi.dev/icons/VALE3.svg,719.7,369.70000000000005,105.62857142857145
MGLU3,Renda Variável (Ações/FIIs),20.0,40.0,2.0,,0.0,4.22,https://icons.brapi.dev/icons/MGLU3.svg,84.39999999999999,44.39999999999999,110.99999999999999
PETR4,Renda Variável (Ações/FIIs),12.0,680.0,56.666666666666664,,0.0,42.52,https://icons.brapi.dev/icons/PETR4.svg,510.24,-169.76,-24.964705882352938
CDB Banco do Brasil,Renda Fixa,1.0,1000.0,1000.0,CDI,100.0,,https://ui-avatars.com/api/?name=CDI&background=0D8ABC&color=fff&length=4&font-size=0.35&bold=true,1000.0,0.0,0.0
IPCA+ 2029,Renda Fixa,1.0,500.0,500.0,IPCA+,90.0,,https://ui-avatars.com/api/?name=IPCA%2B&background=0D8ABC&color=fff&length=4&font-size=0.35&bold=true,500.0,0.0,0.0
Test 1 ,Renda Fixa,1.0,0.01,0.01,IPCA+,0.0,,https://ui-avatars.com/api/?name=IPCA%2B&background=0D8ABC&color=fff&length=4&font-size=0.35&bold=true,0.01,0.0,0.0
Test 2,Renda Fixa,1.0,0.01,0.01,Selic,0.0,,https://ui-avatars.com/api/?name=Selic&background=0D8ABC&color=fff&length=4&font-size=0.35&bold=true,0.01,0.0,0.0
Test 1,Renda Fixa,4.0,0.04,0.01,IPCA+,0.0,,https://ui-avatars.com/api/?name=IPCA%2B&background=0D8ABC&color=fff&length=4&font-size=0.35&bold=true,0.04,0.0,0.0
