Data;Classe;Ticker;Operacao;Quantidade;Preco_Unitario;Taxas;Nome_RF;Tipo_RF;Indexador_RF;Taxa_RF;Vencimento_RF;Liquidez_Diaria
18/08/2026;Renda Variável (Ações/FIIs);ITUB4;Compra;5.0;20.0;0.0;;;;0.0;;False
18/08/2026;Renda Variável (Ações/FIIs);VALE3;Compra;10.0;35.0;0.0;;;;0.0;;False
18/08/2026;Renda Variável (Ações/FIIs);MGLU3;Compra;20.0;2.0;0.0;;;;0.0;;False
18/08/2026;Renda Variável (Ações/FIIs);PETR4;Compra;2.0;40.0;0.0;;;;0.0;;False
18/08/2026;Renda Fixa;;Aplicação;1.0;1000.0;0.0;CDB Banco do Brasil;CDB;CDI;100.0;18/08/2026;False
18/08/2026;Renda Fixa;;Aplicação;1.0;500.0;0.0;IPCA+ 2029;CDB;IPCA+;90.0;31/08/2029;False
18/08/2026;Renda Variável (Ações/FIIs);PETR4;Compra;10.0;60.0;0.0;;;;0.0;;False
01/08/2024;Renda Fixa;;Aplicação;1.0;1000.0;0.0;CDB Test de Rendimento;CDB;CDI;120.0;18/08/2026;True
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
2026-08-18;Renda Fixa;;Aplicação;1.0;0.01;0.0;Test 1 ;CDB;IPCA+;0.0;2026-08-18;False
2026-08-18;Renda Fixa;;Aplicação;1.0;0.01;0.0;Test 2;CDB;Selic;0.0;2026-08-18;False
2026-08-18;Renda Fixa;;Aplicação;1.0;0.01;0.0;Test 1;CDB;IPCA+;0.0;2026-08-18;False
2026-08-18;Renda Fixa;;Aplicação;1.0;0.01;0.0;Test 1;CDB;IPCA+;0.0;2026-08-18;False
2026-08-18;Renda Fixa;;Aplicação;1.0;0.01;0.0;Test 1;CDB;Selic;0.0;2026-08-18;False
2026-08-18;Renda Fixa;;Aplicação;1.0;0.01;0.0;Test 1;LCI;Selic;0.0;2026-08-18;False
